Keyword,Exact user intent,Monthly search volume if available,Search Console impressions,Search Console clicks,CTR,Average position,Current ranking CruiseKit page,Best target CruiseKit page,Existing or new page?,Priority score,Recommended title tag,Recommended meta description,Recommended H1,Recommended H2/FAQ additions,Recommended CTA,Internal links to add,Content action,Tracking notes,Evidence source,Evidence strength,Authenticated decision,Tracking/source caveat
what costs are not included on a cruise,Wants a checklist of excluded costs.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/hidden-cruise-costs,Existing,70,Hidden Cruise Costs: 15 Fees to Budget Before You Book,"See the cruise fees that advertised fares leave out, including gratuities, drink packages, WiFi, excursions, port fees, and onboard extras.",Hidden Cruise Costs,Add H2/FAQ: What costs are not included on a cruise?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public community hook,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
how does cruise pricing work,"Wants explanation of fare, fees, and add-ons.",Unavailable,3,0,0%,81.67,/cruise-costs,/cruise-costs,Existing,69,"Cruise Costs Guide: Fare, Fees, Tips, Drinks, WiFi & Extras","Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",how does cruise pricing work,Add FAQ using exact query wording: how does cruise pricing work,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 3 impressions / pos 81.67; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
how much do cruises cost,Broad cost research using plural wording.,Unavailable,5,0,0%,91.6,/calculator,/blog/how-much-does-a-cruise-really-cost-2026,Existing,69,How Much Does a Cruise Really Cost in 2026? Real Fare + Fees,"See what a cruise really costs after taxes, gratuities, drinks, WiFi, excursions, port spending, and pre-cruise expenses.",How Much Does a Cruise Really Cost?,Add H2/FAQ: How much do cruises cost?,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 5 impressions / pos 91.6; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
what do you pay for on a cruise,Broad fee question that can be used as FAQ/social hook.,Unavailable,1,0,0%,94,/,/blog/hidden-cruise-costs,Existing,69,Hidden Cruise Costs: 15 Fees to Budget Before You Book,"See the cruise fees that advertised fares leave out, including gratuities, drink packages, WiFi, excursions, port fees, and onboard extras.",Hidden Cruise Costs,Add FAQ using exact query wording: what do you pay for on a cruise,Calculate my real cruise cost,"Calculator hub, cost hub, drink guide, tipping guide, port-day guide",G,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 94; GSC exact low volume,Light,Use for FAQ/social only unless approved,"No reported Keyword Planner volume; Use for social/video, not SEO page targeting"
ncl free at sea cost,Wants to understand what Free at Sea still costs.,50,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/norwegian-free-at-sea-explained,Existing,64,NCL Free at Sea Cost: What Is Actually Included?,"Understand what NCL Free at Sea includes, what still costs extra, and how it changes your real cruise total.",ncl free at sea cost,Add H2/FAQ: Ncl free at sea cost?,Calculate my real cruise cost,Calculator hub and related guide pages,A;B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 50/mo; Keyword Planner seed; Google Trends NCL comparison,Medium,Map for review before implementation,No exact GSC match yet
is ncl free at sea really free,Wants clarity on whether Free at Sea has hidden charges.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/norwegian-free-at-sea-explained,Existing,59,NCL Free at Sea Cost: What Is Actually Included?,"Understand what NCL Free at Sea includes, what still costs extra, and how it changes your real cruise total.",is ncl free at sea really free,Add FAQ using exact query wording: is ncl free at sea really free,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,public community hook,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
ncl free at sea plus cost,Wants Free at Sea Plus upgrade cost.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/blog/norwegian-free-at-sea-explained,Existing,59,NCL Free at Sea Cost: What Is Actually Included?,"Understand what NCL Free at Sea includes, what still costs extra, and how it changes your real cruise total.",ncl free at sea plus cost,Add H2/FAQ: Ncl free at sea plus cost?,Calculate my real cruise cost,Calculator hub and related guide pages,B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Google Trends rising related query,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
how much spending money for a 7 day cruise,Wants spending money guidance for a one-week cruise.,10,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/port-day-tips,Existing,56,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add H2/FAQ: How much spending money for a 7 day cruise?,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,Keyword Planner 10/mo; Keyword Planner seed,Light,Map for review before implementation,No exact GSC match yet
cruise tipping guide,Wants rules and expectations for cruise tips.,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Not visible in GSC,/guides/cruise-tipping-guide,Existing,53,Cruise Gratuity Calculator + Tipping Guide,"Calculate cruise gratuities by line, cabin, guests, and trip length, then see how tips affect your total cruise budget.",Cruise Tipping Guide,Add FAQ using exact query wording: cruise tipping guide,Calculate my cruise gratuities,"Calculator hub, line calculator pages, hidden-cost blog, FAQ",A;B;C,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,existing guide,Light,Map for review before implementation,No exact GSC match yet; No reported Keyword Planner volume
how much money do you need on a cruise,Wants total spending money amount.,Unavailable,1,0,0%,86,/calculator,/guides/port-day-tips,Existing,52,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add FAQ using exact query wording: how much money do you need on a cruise,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 1 impressions / pos 86; GSC exact,Light,Map for review before implementation,No reported Keyword Planner volume
how much money should i take on a cruise,Wants total spending money amount.,Unavailable,3,0,0%,90.67,/,/guides/port-day-tips,Existing,52,"Cruise Port Spending Guide: Cash, Tips & Excursion Budgets","Plan cash, tips, excursions, taxis, food, and port-day spending before your cruise.",Port Day Spending Guide,Add FAQ using exact query wording: how much money should i take on a cruise,Add port spending to my cruise budget,"Calculator hub, first-time guide, port pages, hidden-cost blog",B;C;D,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 3 impressions / pos 90.67; GSC exact,Medium,Map for review before implementation,No reported Keyword Planner volume
cruise loyalty program,"Wants loyalty program information, not cost planning.",Unavailable,10,0,0%,32,Unknown from query export; see page-filter rows when available,/loyalty,Existing,35,cruise loyalty program: CruiseKit Cost Guide,"Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",cruise loyalty program,Add FAQ using exact query wording: cruise loyalty program,Calculate my real cruise cost,Calculator hub and related guide pages,H,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 10 impressions / pos 32; GSC exact but lower current priority,Medium,Do not target in SEO implementation,No reported Keyword Planner volume; Low fit or wrong intent; do not target
cruise membership,"Likely loyalty/membership intent, not cost-calculator intent.",Unavailable,18,0,0%,50.11,Unknown from query export; see page-filter rows when available,/loyalty,Existing,35,cruise membership: CruiseKit Cost Guide,"Plan your cruise budget with realistic costs, add-ons, and calculator handoffs.",cruise membership,Add FAQ using exact query wording: cruise membership,Calculate my real cruise cost,Calculator hub and related guide pages,H,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 18 impressions / pos 50.11; GSC exact but weak feature fit,Medium,Do not target in SEO implementation,No reported Keyword Planner volume; Low fit or wrong intent; do not target
cruise price prediction,Wants price forecasting; CruiseKit is not positioned as fare predictor.,Unavailable,11,0,0%,53.27,/,/,Existing,35,CruiseKit: See What Your Cruise Will Actually Cost,"CruiseKit helps you estimate the real cost of a cruise before you book, including gratuities, drinks, WiFi, excursions, port fees, and extras.",See what your cruise will actually cost before you book.,Add H2/FAQ: Cruise price prediction?,Calculate my real cruise cost,Calculator hub and related guide pages,H,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 11 impressions / pos 53.27; GSC exact wrong-intent query,Medium,Do not target in SEO implementation,No reported Keyword Planner volume; Low fit or wrong intent; do not target
cruisefish price tracker,"Looking for a competitor price tracker, not CruiseKit cost calculator.",Unavailable,16,0,0%,47.5,/,/,Existing,35,CruiseKit: See What Your Cruise Will Actually Cost,"CruiseKit helps you estimate the real cost of a cruise before you book, including gratuities, drinks, WiFi, excursions, port fees, and extras.",See what your cruise will actually cost before you book.,Add H2/FAQ: Cruisefish price tracker?,Calculate my real cruise cost,Calculator hub and related guide pages,H,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 16 impressions / pos 47.5; GSC exact wrong-intent query,Medium,Do not target in SEO implementation,No reported Keyword Planner volume; Low fit or wrong intent; do not target
how much does a cruise ship cost,"Wants ship construction/purchase cost, not vacation cost.",Unavailable,12,0,0%,81.67,/,/,Existing,35,CruiseKit: See What Your Cruise Will Actually Cost,"CruiseKit helps you estimate the real cost of a cruise before you book, including gratuities, drinks, WiFi, excursions, port fees, and extras.",See what your cruise will actually cost before you book.,Add H2/FAQ: How much does a cruise ship cost?,Calculate my real cruise cost,Calculator hub and related guide pages,H,Track blog_cta_click and downstream calculator_started; tag internal links with source section where practical.,GSC 12 impressions / pos 81.67; GSC exact wrong-intent query,Medium,Do not target in SEO implementation,No reported Keyword Planner volume; Low fit or wrong intent; do not target
