Opportunity set,Query,Page,Clicks,Impressions,CTR,Average position,Country,Device,Export window,Opportunity reason,Best target page,Recommended action,Priority
Small content improvement,how much does going on a cruise cost,All pages query export,0,1,0%,98,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 98.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Review,how much is a 4 day cruise,All pages query export,0,1,0%,98,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 98.",/calculator,Review manually,69
Review,how much is the cruise,All pages query export,0,1,0%,99,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 99.",/calculator,Review manually,69
Small content improvement,how much does a cruise for two cost,All pages query export,0,1,0%,100,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 100.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much money do you need on a cruise,/calculator,0,1,0%,86,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does an average cruise cost,/calculator,0,1,0%,94,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much will a cruise cost,/calculator,0,1,0%,94,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much do cruise cost,/calculator,0,1,0%,95,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,what is the average cost of a cruise,/calculator,0,1,0%,97,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does it cost for a cruise,/calculator,0,1,0%,99,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does cruise cost,/cruise-costs,0,1,0%,76,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much would a cruise cost,/cruise-costs,0,1,0%,77,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does it cost for a cruise,/cruise-costs,0,1,0%,81,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much for a cruise,/cruise-costs,0,1,0%,81,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does a cruise usually cost,/cruise-costs,0,1,0%,94,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does a 4 day cruise cost,/,0,1,0%,71,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does a cruise cost for 1 person,/,0,1,0%,72,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,average cost of 5 day cruise,/,0,1,0%,73,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a cruise ship trip,/,0,1,0%,74,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,prices of a cruise,/,0,1,0%,74,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,what is the average price of a cruise,/,0,1,0%,74,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,what is the cost of a cruise ship,/,0,1,0%,76,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much to go on a cruise ship,/,0,1,0%,77,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,how much are cruise ships,/,0,1,0%,78,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,what is the average cost of a cruise,/,0,1,0%,79,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does an average cruise cost,/,0,1,0%,81,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much would it cost to go on a cruise,/,0,1,0%,81,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much cost a cruise ship,/,0,1,0%,82,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,cost to go on a cruise,/,0,1,0%,84,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,average cost of a cruise per person,/,0,1,0%,85,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much do cruise cost,/,0,1,0%,85,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,what is the price of a cruise,/,0,1,0%,86,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a cruise on average,/,0,1,0%,87,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much it cost to go on a cruise,/,0,1,0%,88,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much money is a cruise,/,0,1,0%,88,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much do cruise ships cost,/,0,1,0%,89,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is it for a cruise,/,0,1,0%,89,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does it cost to go on cruise,/,0,1,0%,90,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a 365 day cruise,/,0,1,0%,90,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,how much is it to take a cruise,/,0,1,0%,90,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much would a cruise cost,/,0,1,0%,90,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a 30 day cruise,/,0,1,0%,91,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,how much is a cruise for a week,/,0,1,0%,93,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,how much money is a cruise ship,/,0,1,0%,93,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,what do you have to pay for on a cruise,/,0,1,0%,93,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/blog/hidden-cruise-costs,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does cruise cost,/,0,1,0%,94,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is it to go on a cruise ship,/,0,1,0%,94,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,what do you pay for on a cruise,/,0,1,0%,94,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/blog/hidden-cruise-costs,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Small content improvement,how much does a 3 day cruise cost,/,0,1,0%,95,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much for a cruise,/,0,1,0%,97,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does going on a cruise cost,/,0,1,0%,98,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Page-filter validation: Review,how much is a 4 day cruise,/,0,1,0%,98,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Review,how much is the cruise,/,0,1,0%,99,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,Review manually,69
Page-filter validation: Small content improvement,how much does a cruise for two cost,/,0,1,0%,100,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,69
Small content improvement,cost of cruise ship,All pages query export,0,1,0%,73,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 73.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,57
Small content improvement,cost of a cruise ship,All pages query export,0,1,0%,74,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 74.",/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,57
Page-filter validation: Small content improvement,cost of cruise ship,/,0,1,0%,73,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,57
Page-filter validation: Small content improvement,cost of a cruise ship,/,0,1,0%,74,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,A. Rewrite title/meta only if approved; B. Add FAQ/H2; C. Add internal links,57
Ranking position 8-30,virgin voyages vs celebrity cruises,All pages query export,0,4,0%,26,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 4 impressions, 0 clicks, position 26.",/,Review manually,53
Ranking position 8-30,celebrity vs virgin,All pages query export,0,1,0%,20,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 20.",/,Review manually,53
Ranking position 30-70,wincruise online pricing,All pages query export,0,1,0%,63,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 63.",/,Review manually,51
Page-filter validation: Ranking position 30-70,wincruise online pricing,/,0,1,0%,63,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,51
Ranking position 30-70,celebrity vs virgin cruises,All pages query export,0,2,0%,37,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 37.",/,Review manually,47
Ranking position 30-70,virgin vs celebrity cruises,All pages query export,0,2,0%,37.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 2 impressions, 0 clicks, position 37.5.",/,Review manually,47
Ranking position 30-70,celebrity cruises vs virgin voyages,All pages query export,0,1,0%,31,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 31.",/,Review manually,47
Ranking position 30-70,cruise ship planner,All pages query export,0,1,0%,36,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 36.",/,Review manually,47
Ranking position 30-70,p&o peninsular club tiers,All pages query export,0,1,0%,37,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 37.",/,Review manually,47
Ranking position 30-70,p&o tiers,All pages query export,0,1,0%,38,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 38.",/,Review manually,47
Ranking position 30-70,virgin vs celebrity cruise,All pages query export,0,1,0%,38,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 38.",/,Review manually,47
Ranking position 30-70,cruise rewards program,All pages query export,0,1,0%,39,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 39.",/loyalty,Review manually,47
Ranking position 30-70,cruise ship value,All pages query export,0,1,0%,42,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 42.",/,Review manually,47
Ranking position 30-70,cruise expenses,All pages query export,0,1,0%,52,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 52.",/,Review manually,47
Ranking position 30-70,cruise comparison tool,All pages query export,0,1,0%,54,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 54.",/,Review manually,47
Ranking position 30-70,cruise levels,All pages query export,0,1,0%,56,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 56.",/,Review manually,47
Ranking position 30-70,cruise ship rate,All pages query export,0,1,0%,58,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 58.",/,Review manually,47
Ranking position 30-70,cruise ship rates,All pages query export,0,1,0%,61,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 61.",/,Review manually,47
Ranking position 30-70,cruise pricing,All pages query export,0,1,0%,70,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 70.",/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise expenses,/cruise-costs,0,1,0%,52,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise ship planner,/,0,1,0%,36,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise ship value,/,0,1,0%,42,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise comparison tool,/,0,1,0%,54,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise ship rate,/,0,1,0%,58,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise ship rates,/,0,1,0%,61,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,47
Page-filter validation: Ranking position 30-70,cruise pricing,/,0,1,0%,70,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,47
Top page opportunity,,/calculator/royal-caribbean/,1,48,2.08%,18.19,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 48 impressions, 1 clicks, CTR 2.08%, avg position 18.19.",/calculator/royal-caribbean/,"Review title/meta, internal links, and query-page fit before implementation.",45
Review,how does cruise pricing work,All pages query export,0,3,0%,81.67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 3 impressions, 0 clicks, position 81.67.",/,Review manually,40
Page-filter validation: Review,how does cruise pricing work,/calculator,0,2,0%,87.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /calculator; use it to verify target-page fit and cannibalization.,/,Review manually,40
Page-filter validation: Review,how does cruise pricing work,/cruise-costs,0,2,0%,84.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /cruise-costs; use it to verify target-page fit and cannibalization.,/,Review manually,40
Review,cheap cruises for may,All pages query export,0,1,0%,73,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 73.",/,Review manually,40
Review,hilton honors points for cruises,All pages query export,0,1,0%,73,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 73.",/,Review manually,40
Review,how to track cruise fares,All pages query export,0,1,0%,98,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 1 impressions, 0 clicks, position 98.",/,Review manually,40
Page-filter validation: Review,how to track cruise fares,/,0,1,0%,98,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,Review manually,40
High impressions / weak CTR,cruise membership,All pages query export,0,18,0%,50.11,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 18 impressions, 0 clicks, position 50.11.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruisefish price tracker,All pages query export,0,16,0%,47.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruisefish price tracker,/,0,16,0%,47.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does a cruise ship cost,All pages query export,0,12,0%,81.67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does a cruise ship cost,/,0,12,0%,81.67,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruise price prediction,All pages query export,0,11,0%,53.27,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruise price prediction,/,0,11,0%,53.27,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
High impressions / weak CTR,cruise loyalty program,All pages query export,0,10,0%,32,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 10 impressions, 0 clicks, position 32.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Ranking position 30-70,cruise loyalty programs,All pages query export,0,8,0%,37.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 8 impressions, 0 clicks, position 37.5.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruise fare tracker,All pages query export,0,7,0%,63.14,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruise fare tracker,/,0,7,0%,63.14,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/,H. Ignore or defer; intent is not real-cruise-cost planning,35
Top page opportunity,,/guides/drink-package-guide,1,7,14.29%,15.14,All,All,Last 3 months pages export; effective data 2026-05-26 to 2026-06-12,"Page has 7 impressions, 1 clicks, CTR 14.29%, avg position 15.14.",/guides/drink-package-guide,"Review title/meta, internal links, and query-page fit before implementation.",35
Ranking position 30-70,loyalty cruise,All pages query export,0,5,0%,36.2,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,"Query has 5 impressions, 0 clicks, position 36.2.",/loyalty,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does the cruise ship cost,All pages query export,0,4,0%,82.5,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does it cost to build a cruise ship,All pages query export,0,4,0%,93.75,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does the cruise ship cost,/,0,4,0%,82.5,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,how much does it cost to build a cruise ship,/,0,4,0%,93.75,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,cruise ship cost,All pages query export,0,3,0%,64.33,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does a cruise liner cost to build,All pages query export,0,3,0%,81.67,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Wrong-intent query,how much does it cost to rent a cruise ship,All pages query export,0,3,0%,94.33,All,All,Last 3 months export; effective data 2026-05-26 to 2026-06-12,Ranking exists but intent does not match CruiseKit real-cost planning.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
Page-filter validation: Wrong-intent query,cruise ship cost,/,0,3,0%,64.33,All,All,Last 3 months page filter; effective data 2026-05-26 to 2026-06-12,This query appeared while filtering /; use it to verify target-page fit and cannibalization.,/calculator,H. Ignore or defer; intent is not real-cruise-cost planning,35
